Occu,Year,sGrassHt2019,sLichen2019,sReliefPlot,sRelief200L,sOIS,PreFlood,OIS,GrassHt2019,Lichen2019,ReliefPlotL,Relief200mL
NA,2020,0.030201631,-0.035594087,0.641013629,0.641013629,0.001765841,0,9.9,6.365,38,1.101940079,1.388791241
NA,2020,0.068566908,0.812812928,-0.01229044,-0.01229044,0.001765841,0,9.9,6.485,58,0.009950331,0.009950331
NA,2020,-1.031237695,-1.138523207,-0.01229044,-0.01229044,0.001765841,0,9.9,3.045,12,0.009950331,0.009950331
NA,2020,-0.081697093,-1.265784259,-0.01229044,-0.01229044,0.001765841,0,9.9,6.015,9,0.009950331,2.352327185
NA,2020,-1.301393186,1.067335032,-0.01229044,-0.01229044,0.001765841,0,9.9,2.2,64,0.009950331,0.698134722
NA,2020,-0.970492673,-0.7143197,-0.01229044,-0.01229044,0.001765841,0,9.9,3.235,22,0.009950331,0.412109651
NA,2020,-0.36464101,1.533958891,-0.01229044,-0.01229044,0.001765841,0,9.9,5.13,75,0.009950331,0.009950331
NA,2020,-0.129653689,-1.647567416,-2.773375898,-2.773375898,0.001765841,0,9.9,5.865,0,-4.605170186,-4.605170186
NA,2020,-0.855396843,1.152175734,-0.01229044,-0.01229044,0.001765841,0,9.9,3.595,66,0.009950331,0.009950331
NA,2020,0.68880555,-0.671899349,1.329265038,1.329265038,0.001765841,0,9.9,8.425,23,2.252343877,3.637849283
NA,2020,-0.257537945,0.600711174,-0.01229044,-0.01229044,0.001765841,0,9.9,5.465,53,0.009950331,0.009950331
NA,2020,0.306751335,0.303768719,1.054707759,1.054707759,0.001765841,0,9.9,7.23,46,1.793424749,3.17847041
NA,2020,0.588096698,0.218928017,-0.01229044,-0.01229044,0.001765841,0,9.9,8.11,44,0.009950331,1.101940079
NA,2020,0.367496357,0.727972226,-0.01229044,-0.01229044,0.001765841,0,9.9,7.42,56,0.009950331,0.698134722
NA,2020,-0.538883309,-1.647567416,-0.01229044,-0.01229044,0.001765841,0,9.9,4.585,0,0.009950331,0.412109651
NA,2020,-0.105675391,-0.078014438,1.296953222,1.296953222,0.001765841,0,9.9,5.94,37,2.198335072,3.17847041
NA,2020,-0.407162525,0.261348368,-0.01229044,-0.01229044,0.001765841,0,9.9,4.997,45,0.009950331,0.009950331
NA,2020,-0.793692689,0.261348368,0.812627907,0.812627907,0.001765841,0,9.9,3.788,45,1.388791241,1.793424749
NA,2020,-1.229458292,-0.374956893,-0.01229044,-0.01229044,0.001765841,0,9.9,2.425,30,0.009950331,0.009950331
NA,2020,-0.003367986,0.049246614,-0.01229044,-0.01229044,0.001765841,0,9.9,6.26,40,0.009950331,0.009950331
NA,2020,0.011338703,0.643131525,-0.01229044,-0.01229044,0.001765841,0,9.9,6.306,54,0.009950331,0.009950331
NA,2020,-0.713125608,1.406697838,0.095798913,0.095798913,0.001765841,0,9.9,4.04,72,0.19062036,0.19062036
NA,2020,2.015604708,0.38860942,-0.01229044,-0.01229044,0.001765841,0,9.9,12.575,48,0.009950331,0.009950331
NA,2020,-0.231321673,1.237016435,-0.01229044,-0.01229044,0.001765841,0,9.9,5.547,68,0.009950331,0.009950331
